image_id,file_name,local_filename,location,site_id,date_captured,seq_id,species_label,latitude,longitude,habitat_type,local_image_path
S1/O05/O05_R1/S1_O05_R1_PICT4124,S1/O05/O05_R1/S1_O05_R1_PICT4124.JPG,s1_o05_o05_r1_s1_o05_r1_pict4124.jpg,O05,O05,,SER_S1#O05#1#1251,wildebeest,-2.3333,34.8333,unknown,images\s1_o05_o05_r1_s1_o05_r1_pict4124.jpg
S1/G02/G02_R4/S1_G02_R4_PICT0422,S1/G02/G02_R4/S1_G02_R4_PICT0422.JPG,s1_g02_g02_r4_s1_g02_r4_pict0422.jpg,G02,G02,,SER_S1#G02#4#142,wildebeest,-2.3333,34.8333,unknown,images\s1_g02_g02_r4_s1_g02_r4_pict0422.jpg
S1/K03/K03_R1/S1_K03_R1_PICT0997,S1/K03/K03_R1/S1_K03_R1_PICT0997.JPG,s1_k03_k03_r1_s1_k03_r1_pict0997.jpg,K03,K03,,SER_S1#K03#1#333,wildebeest,-2.3333,34.8333,unknown,images\s1_k03_k03_r1_s1_k03_r1_pict0997.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1698,S1/E06/E06_R4/S1_E06_R4_PICT1698.JPG,s1_e06_e06_r4_s1_e06_r4_pict1698.jpg,E06,E06,,SER_S1#E06#4#567,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1698.jpg
S1/H02/H02_R2/S1_H02_R2_PICT0733,S1/H02/H02_R2/S1_H02_R2_PICT0733.JPG,s1_h02_h02_r2_s1_h02_r2_pict0733.jpg,H02,H02,,SER_S1#H02#2#245,wildebeest,-2.3333,34.8333,unknown,images\s1_h02_h02_r2_s1_h02_r2_pict0733.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1622,S1/E06/E06_R4/S1_E06_R4_PICT1622.JPG,s1_e06_e06_r4_s1_e06_r4_pict1622.jpg,E06,E06,,SER_S1#E06#4#542,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1622.jpg
S1/Q12/Q12_R1/S1_Q12_R1_PICT1020,S1/Q12/Q12_R1/S1_Q12_R1_PICT1020.JPG,s1_q12_q12_r1_s1_q12_r1_pict1020.jpg,Q12,Q12,,SER_S1#Q12#1#341,wildebeest,-2.3333,34.8333,unknown,images\s1_q12_q12_r1_s1_q12_r1_pict1020.jpg
S1/H02/H02_R2/S1_H02_R2_PICT0695,S1/H02/H02_R2/S1_H02_R2_PICT0695.JPG,s1_h02_h02_r2_s1_h02_r2_pict0695.jpg,H02,H02,,SER_S1#H02#2#232,wildebeest,-2.3333,34.8333,unknown,images\s1_h02_h02_r2_s1_h02_r2_pict0695.jpg
S1/L06/L06_R1/S1_L06_R1_PICT0424,S1/L06/L06_R1/S1_L06_R1_PICT0424.JPG,s1_l06_l06_r1_s1_l06_r1_pict0424.jpg,L06,L06,,SER_S1#L06#1#142,wildebeest,-2.3333,34.8333,unknown,images\s1_l06_l06_r1_s1_l06_r1_pict0424.jpg
S1/F02/F02_R3/S1_F02_R3_PICT0470,S1/F02/F02_R3/S1_F02_R3_PICT0470.JPG,s1_f02_f02_r3_s1_f02_r3_pict0470.jpg,F02,F02,,SER_S1#F02#3#157,wildebeest,-2.3333,34.8333,unknown,images\s1_f02_f02_r3_s1_f02_r3_pict0470.jpg
S1/J03/J03_R1/S1_J03_R1_PICT2877,S1/J03/J03_R1/S1_J03_R1_PICT2877.JPG,s1_j03_j03_r1_s1_j03_r1_pict2877.jpg,J03,J03,,SER_S1#J03#1#311,wildebeest,-2.3333,34.8333,unknown,images\s1_j03_j03_r1_s1_j03_r1_pict2877.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1706,S1/E06/E06_R4/S1_E06_R4_PICT1706.JPG,s1_e06_e06_r4_s1_e06_r4_pict1706.jpg,E06,E06,,SER_S1#E06#4#570,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1706.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1532,S1/E06/E06_R4/S1_E06_R4_PICT1532.JPG,s1_e06_e06_r4_s1_e06_r4_pict1532.jpg,E06,E06,,SER_S1#E06#4#512,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1532.jpg
S1/H07/H07_R1/S1_H07_R1_PICT0469,S1/H07/H07_R1/S1_H07_R1_PICT0469.JPG,s1_h07_h07_r1_s1_h07_r1_pict0469.jpg,H07,H07,,SER_S1#H07#1#469,wildebeest,-2.3333,34.8333,unknown,images\s1_h07_h07_r1_s1_h07_r1_pict0469.jpg
S1/E09/E09_R2/S1_E09_R2_PICT1163,S1/E09/E09_R2/S1_E09_R2_PICT1163.JPG,s1_e09_e09_r2_s1_e09_r2_pict1163.jpg,E09,E09,,SER_S1#E09#2#389,wildebeest,-2.3333,34.8333,unknown,images\s1_e09_e09_r2_s1_e09_r2_pict1163.jpg
S1/H02/H02_R2/S1_H02_R2_PICT1020,S1/H02/H02_R2/S1_H02_R2_PICT1020.JPG,s1_h02_h02_r2_s1_h02_r2_pict1020.jpg,H02,H02,,SER_S1#H02#2#340,wildebeest,-2.3333,34.8333,unknown,images\s1_h02_h02_r2_s1_h02_r2_pict1020.jpg
S1/H02/H02_R2/S1_H02_R2_PICT0608,S1/H02/H02_R2/S1_H02_R2_PICT0608.JPG,s1_h02_h02_r2_s1_h02_r2_pict0608.jpg,H02,H02,,SER_S1#H02#2#203,wildebeest,-2.3333,34.8333,unknown,images\s1_h02_h02_r2_s1_h02_r2_pict0608.jpg
S1/E09/E09_R2/S1_E09_R2_PICT1165,S1/E09/E09_R2/S1_E09_R2_PICT1165.JPG,s1_e09_e09_r2_s1_e09_r2_pict1165.jpg,E09,E09,,SER_S1#E09#2#389,wildebeest,-2.3333,34.8333,unknown,images\s1_e09_e09_r2_s1_e09_r2_pict1165.jpg
S1/H02/H02_R2/S1_H02_R2_PICT0595,S1/H02/H02_R2/S1_H02_R2_PICT0595.JPG,s1_h02_h02_r2_s1_h02_r2_pict0595.jpg,H02,H02,,SER_S1#H02#2#199,wildebeest,-2.3333,34.8333,unknown,images\s1_h02_h02_r2_s1_h02_r2_pict0595.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1858,S1/E06/E06_R4/S1_E06_R4_PICT1858.JPG,s1_e06_e06_r4_s1_e06_r4_pict1858.jpg,E06,E06,,SER_S1#E06#4#620,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1858.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1633,S1/E06/E06_R4/S1_E06_R4_PICT1633.JPG,s1_e06_e06_r4_s1_e06_r4_pict1633.jpg,E06,E06,,SER_S1#E06#4#545,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1633.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1714,S1/E06/E06_R4/S1_E06_R4_PICT1714.JPG,s1_e06_e06_r4_s1_e06_r4_pict1714.jpg,E06,E06,,SER_S1#E06#4#572,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1714.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1702,S1/E06/E06_R4/S1_E06_R4_PICT1702.JPG,s1_e06_e06_r4_s1_e06_r4_pict1702.jpg,E06,E06,,SER_S1#E06#4#568,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1702.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1565,S1/E06/E06_R4/S1_E06_R4_PICT1565.JPG,s1_e06_e06_r4_s1_e06_r4_pict1565.jpg,E06,E06,,SER_S1#E06#4#523,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1565.jpg
S1/H02/H02_R2/S1_H02_R2_PICT0687,S1/H02/H02_R2/S1_H02_R2_PICT0687.JPG,s1_h02_h02_r2_s1_h02_r2_pict0687.jpg,H02,H02,,SER_S1#H02#2#229,wildebeest,-2.3333,34.8333,unknown,images\s1_h02_h02_r2_s1_h02_r2_pict0687.jpg
S1/E06/E06_R3/S1_E06_R3_PICT0074,S1/E06/E06_R3/S1_E06_R3_PICT0074.JPG,s1_e06_e06_r3_s1_e06_r3_pict0074.jpg,E06,E06,,SER_S1#E06#3#25,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r3_s1_e06_r3_pict0074.jpg
S1/L08/L08_R1/S1_L08_R1_PICT1308,S1/L08/L08_R1/S1_L08_R1_PICT1308.JPG,s1_l08_l08_r1_s1_l08_r1_pict1308.jpg,L08,L08,,SER_S1#L08#1#437,wildebeest,-2.3333,34.8333,unknown,images\s1_l08_l08_r1_s1_l08_r1_pict1308.jpg
S1/G06/G06_R3/S1_G06_R3_PICT0431,S1/G06/G06_R3/S1_G06_R3_PICT0431.JPG,s1_g06_g06_r3_s1_g06_r3_pict0431.jpg,G06,G06,,SER_S1#G06#3#144,wildebeest,-2.3333,34.8333,unknown,images\s1_g06_g06_r3_s1_g06_r3_pict0431.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1744,S1/E06/E06_R4/S1_E06_R4_PICT1744.JPG,s1_e06_e06_r4_s1_e06_r4_pict1744.jpg,E06,E06,,SER_S1#E06#4#582,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1744.jpg
S1/E04/E04_R5/S1_E04_R5_PICT0018,S1/E04/E04_R5/S1_E04_R5_PICT0018.JPG,s1_e04_e04_r5_s1_e04_r5_pict0018.jpg,E04,E04,,SER_S1#E04#5#7,wildebeest,-2.3062,34.8027,open_grassland,images\s1_e04_e04_r5_s1_e04_r5_pict0018.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1658,S1/E06/E06_R4/S1_E06_R4_PICT1658.JPG,s1_e06_e06_r4_s1_e06_r4_pict1658.jpg,E06,E06,,SER_S1#E06#4#554,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1658.jpg
S1/H02/H02_R2/S1_H02_R2_PICT0728,S1/H02/H02_R2/S1_H02_R2_PICT0728.JPG,s1_h02_h02_r2_s1_h02_r2_pict0728.jpg,H02,H02,,SER_S1#H02#2#243,wildebeest,-2.3333,34.8333,unknown,images\s1_h02_h02_r2_s1_h02_r2_pict0728.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1713,S1/E06/E06_R4/S1_E06_R4_PICT1713.JPG,s1_e06_e06_r4_s1_e06_r4_pict1713.jpg,E06,E06,,SER_S1#E06#4#572,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1713.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1721,S1/E06/E06_R4/S1_E06_R4_PICT1721.JPG,s1_e06_e06_r4_s1_e06_r4_pict1721.jpg,E06,E06,,SER_S1#E06#4#575,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1721.jpg
S1/G01/G01_R2/S1_G01_R2_PICT0305,S1/G01/G01_R2/S1_G01_R2_PICT0305.JPG,s1_g01_g01_r2_s1_g01_r2_pict0305.jpg,G01,G01,,SER_S1#G01#2#103,wildebeest,-2.3333,34.8333,unknown,images\s1_g01_g01_r2_s1_g01_r2_pict0305.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1578,S1/E06/E06_R4/S1_E06_R4_PICT1578.JPG,s1_e06_e06_r4_s1_e06_r4_pict1578.jpg,E06,E06,,SER_S1#E06#4#527,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1578.jpg
S1/H02/H02_R2/S1_H02_R2_PICT0706,S1/H02/H02_R2/S1_H02_R2_PICT0706.JPG,s1_h02_h02_r2_s1_h02_r2_pict0706.jpg,H02,H02,,SER_S1#H02#2#236,wildebeest,-2.3333,34.8333,unknown,images\s1_h02_h02_r2_s1_h02_r2_pict0706.jpg
S1/R10/R10_R1/S1_R10_R1_PICT1447,S1/R10/R10_R1/S1_R10_R1_PICT1447.JPG,s1_r10_r10_r1_s1_r10_r1_pict1447.jpg,R10,R10,,SER_S1#R10#1#483,wildebeest,-2.3333,34.8333,unknown,images\s1_r10_r10_r1_s1_r10_r1_pict1447.jpg
S1/G07/G07_R1/S1_G07_R1_PICT0042,S1/G07/G07_R1/S1_G07_R1_PICT0042.JPG,s1_g07_g07_r1_s1_g07_r1_pict0042.jpg,G07,G07,,SER_S1#G07#1#42,elephant,-2.3333,34.8333,unknown,images\s1_g07_g07_r1_s1_g07_r1_pict0042.jpg
S1/I07/I07_R1/S1_I07_R1_PICT2199,S1/I07/I07_R1/S1_I07_R1_PICT2199.JPG,s1_i07_i07_r1_s1_i07_r1_pict2199.jpg,I07,I07,,SER_S1#I07#1#734,elephant,-2.3333,34.8333,unknown,images\s1_i07_i07_r1_s1_i07_r1_pict2199.jpg
S1/G01/G01_R1/S1_G01_R1_PICT0141,S1/G01/G01_R1/S1_G01_R1_PICT0141.JPG,s1_g01_g01_r1_s1_g01_r1_pict0141.jpg,G01,G01,,SER_S1#G01#1#48,elephant,-2.3333,34.8333,unknown,images\s1_g01_g01_r1_s1_g01_r1_pict0141.jpg
S1/G07/G07_R2/S1_G07_R2_PICT0605,S1/G07/G07_R2/S1_G07_R2_PICT0605.JPG,s1_g07_g07_r2_s1_g07_r2_pict0605.jpg,G07,G07,,SER_S1#G07#2#203,elephant,-2.3333,34.8333,unknown,images\s1_g07_g07_r2_s1_g07_r2_pict0605.jpg
S1/L07/L07_R1/S1_L07_R1_PICT0360,S1/L07/L07_R1/S1_L07_R1_PICT0360.JPG,s1_l07_l07_r1_s1_l07_r1_pict0360.jpg,L07,L07,,SER_S1#L07#1#121,elephant,-2.3333,34.8333,unknown,images\s1_l07_l07_r1_s1_l07_r1_pict0360.jpg
S1/D02/D02_R1/S1_D02_R1_PICT1842,S1/D02/D02_R1/S1_D02_R1_PICT1842.JPG,s1_d02_d02_r1_s1_d02_r1_pict1842.jpg,D02,D02,,SER_S1#D02#1#613,elephant,-2.3333,34.8333,unknown,images\s1_d02_d02_r1_s1_d02_r1_pict1842.jpg
S1/O05/O05_R1/S1_O05_R1_PICT5633,S1/O05/O05_R1/S1_O05_R1_PICT5633.JPG,s1_o05_o05_r1_s1_o05_r1_pict5633.jpg,O05,O05,,SER_S1#O05#1#1694,elephant,-2.3333,34.8333,unknown,images\s1_o05_o05_r1_s1_o05_r1_pict5633.jpg
S1/O05/O05_R1/S1_O05_R1_PICT6181,S1/O05/O05_R1/S1_O05_R1_PICT6181.JPG,s1_o05_o05_r1_s1_o05_r1_pict6181.jpg,O05,O05,,SER_S1#O05#1#1876,elephant,-2.3333,34.8333,unknown,images\s1_o05_o05_r1_s1_o05_r1_pict6181.jpg
S1/F12/F12_R1/S1_F12_R1_PICT1441,S1/F12/F12_R1/S1_F12_R1_PICT1441.JPG,s1_f12_f12_r1_s1_f12_r1_pict1441.jpg,F12,F12,,SER_S1#F12#1#481,elephant,-2.3333,34.8333,unknown,images\s1_f12_f12_r1_s1_f12_r1_pict1441.jpg
S1/I08/I08_R1/S1_I08_R1_PICT0252,S1/I08/I08_R1/S1_I08_R1_PICT0252.JPG,s1_i08_i08_r1_s1_i08_r1_pict0252.jpg,I08,I08,,SER_S1#I08#1#85,elephant,-2.3333,34.8333,unknown,images\s1_i08_i08_r1_s1_i08_r1_pict0252.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1152,S1/E06/E06_R4/S1_E06_R4_PICT1152.JPG,s1_e06_e06_r4_s1_e06_r4_pict1152.jpg,E06,E06,,SER_S1#E06#4#385,elephant,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1152.jpg
S1/D06/D06_R1/S1_D06_R1_PICT1875,S1/D06/D06_R1/S1_D06_R1_PICT1875.JPG,s1_d06_d06_r1_s1_d06_r1_pict1875.jpg,D06,D06,,SER_S1#D06#1#1875,elephant,-2.2562,34.9027,kopje,images\s1_d06_d06_r1_s1_d06_r1_pict1875.jpg
S1/I07/I07_R1/S1_I07_R1_PICT1676,S1/I07/I07_R1/S1_I07_R1_PICT1676.JPG,s1_i07_i07_r1_s1_i07_r1_pict1676.jpg,I07,I07,,SER_S1#I07#1#560,elephant,-2.3333,34.8333,unknown,images\s1_i07_i07_r1_s1_i07_r1_pict1676.jpg
S1/L07/L07_R1/S1_L07_R1_PICT0355,S1/L07/L07_R1/S1_L07_R1_PICT0355.JPG,s1_l07_l07_r1_s1_l07_r1_pict0355.jpg,L07,L07,,SER_S1#L07#1#119,elephant,-2.3333,34.8333,unknown,images\s1_l07_l07_r1_s1_l07_r1_pict0355.jpg
S1/H08/H08_R1/S1_H08_R1_PICT0119,S1/H08/H08_R1/S1_H08_R1_PICT0119.JPG,s1_h08_h08_r1_s1_h08_r1_pict0119.jpg,H08,H08,,SER_S1#H08#1#41,elephant,-2.3333,34.8333,unknown,images\s1_h08_h08_r1_s1_h08_r1_pict0119.jpg
S1/H08/H08_R1/S1_H08_R1_PICT0391,S1/H08/H08_R1/S1_H08_R1_PICT0391.JPG,s1_h08_h08_r1_s1_h08_r1_pict0391.jpg,H08,H08,,SER_S1#H08#1#131,elephant,-2.3333,34.8333,unknown,images\s1_h08_h08_r1_s1_h08_r1_pict0391.jpg
S1/D07/D07_R3/S1_D07_R3_PICT0262,S1/D07/D07_R3/S1_D07_R3_PICT0262.JPG,s1_d07_d07_r3_s1_d07_r3_pict0262.jpg,D07,D07,,SER_S1#D07#3#88,elephant,-2.2562,34.9527,woodland,images\s1_d07_d07_r3_s1_d07_r3_pict0262.jpg
S1/H03/H03_R2/S1_H03_R2_PICT0088,S1/H03/H03_R2/S1_H03_R2_PICT0088.JPG,s1_h03_h03_r2_s1_h03_r2_pict0088.jpg,H03,H03,,SER_S1#H03#2#30,elephant,-2.3333,34.8333,unknown,images\s1_h03_h03_r2_s1_h03_r2_pict0088.jpg
S1/K07/K07_R1/S1_K07_R1_PICT0271,S1/K07/K07_R1/S1_K07_R1_PICT0271.JPG,s1_k07_k07_r1_s1_k07_r1_pict0271.jpg,K07,K07,,SER_S1#K07#1#91,elephant,-2.3333,34.8333,unknown,images\s1_k07_k07_r1_s1_k07_r1_pict0271.jpg
S1/D07/D07_R3/S1_D07_R3_PICT0257,S1/D07/D07_R3/S1_D07_R3_PICT0257.JPG,s1_d07_d07_r3_s1_d07_r3_pict0257.jpg,D07,D07,,SER_S1#D07#3#87,elephant,-2.2562,34.9527,woodland,images\s1_d07_d07_r3_s1_d07_r3_pict0257.jpg
S1/I07/I07_R1/S1_I07_R1_PICT1986,S1/I07/I07_R1/S1_I07_R1_PICT1986.JPG,s1_i07_i07_r1_s1_i07_r1_pict1986.jpg,I07,I07,,SER_S1#I07#1#663,elephant,-2.3333,34.8333,unknown,images\s1_i07_i07_r1_s1_i07_r1_pict1986.jpg
S1/M04/M04_R1/S1_M04_R1_PICT0038,S1/M04/M04_R1/S1_M04_R1_PICT0038.JPG,s1_m04_m04_r1_s1_m04_r1_pict0038.jpg,M04,M04,,SER_S1#M04#1#14,elephant,-2.3333,34.8333,unknown,images\s1_m04_m04_r1_s1_m04_r1_pict0038.jpg
S1/D05/D05_R1/S1_D05_R1_PICT0006,S1/D05/D05_R1/S1_D05_R1_PICT0006.JPG,s1_d05_d05_r1_s1_d05_r1_pict0006.jpg,D05,D05,,SER_S1#D05#1#6,elephant,-2.2562,34.8527,open_grassland,images\s1_d05_d05_r1_s1_d05_r1_pict0006.jpg
S1/F12/F12_R1/S1_F12_R1_PICT0516,S1/F12/F12_R1/S1_F12_R1_PICT0516.JPG,s1_f12_f12_r1_s1_f12_r1_pict0516.jpg,F12,F12,,SER_S1#F12#1#173,elephant,-2.3333,34.8333,unknown,images\s1_f12_f12_r1_s1_f12_r1_pict0516.jpg
S1/K10/K10_R1/S1_K10_R1_PICT0326,S1/K10/K10_R1/S1_K10_R1_PICT0326.JPG,s1_k10_k10_r1_s1_k10_r1_pict0326.jpg,K10,K10,,SER_S1#K10#1#110,elephant,-2.3333,34.8333,unknown,images\s1_k10_k10_r1_s1_k10_r1_pict0326.jpg
S1/H08/H08_R1/S1_H08_R1_PICT0022,S1/H08/H08_R1/S1_H08_R1_PICT0022.JPG,s1_h08_h08_r1_s1_h08_r1_pict0022.jpg,H08,H08,,SER_S1#H08#1#8,elephant,-2.3333,34.8333,unknown,images\s1_h08_h08_r1_s1_h08_r1_pict0022.jpg
S1/H08/H08_R1/S1_H08_R1_PICT0332,S1/H08/H08_R1/S1_H08_R1_PICT0332.JPG,s1_h08_h08_r1_s1_h08_r1_pict0332.jpg,H08,H08,,SER_S1#H08#1#112,elephant,-2.3333,34.8333,unknown,images\s1_h08_h08_r1_s1_h08_r1_pict0332.jpg
S1/F08/F08_R3/S1_F08_R3_PICT2534,S1/F08/F08_R3/S1_F08_R3_PICT2534.JPG,s1_f08_f08_r3_s1_f08_r3_pict2534.jpg,F08,F08,,SER_S1#F08#3#847,elephant,-2.3333,34.8333,unknown,images\s1_f08_f08_r3_s1_f08_r3_pict2534.jpg
S1/D07/D07_R3/S1_D07_R3_PICT0087,S1/D07/D07_R3/S1_D07_R3_PICT0087.JPG,s1_d07_d07_r3_s1_d07_r3_pict0087.jpg,D07,D07,,SER_S1#D07#3#30,elephant,-2.2562,34.9527,woodland,images\s1_d07_d07_r3_s1_d07_r3_pict0087.jpg
S1/E02/E02_R3/S1_E02_R3_PICT0147,S1/E02/E02_R3/S1_E02_R3_PICT0147.JPG,s1_e02_e02_r3_s1_e02_r3_pict0147.jpg,E02,E02,,SER_S1#E02#3#50,elephant,-2.3333,34.8333,unknown,images\s1_e02_e02_r3_s1_e02_r3_pict0147.jpg
S1/G07/G07_R1/S1_G07_R1_PICT0024,S1/G07/G07_R1/S1_G07_R1_PICT0024.JPG,s1_g07_g07_r1_s1_g07_r1_pict0024.jpg,G07,G07,,SER_S1#G07#1#24,elephant,-2.3333,34.8333,unknown,images\s1_g07_g07_r1_s1_g07_r1_pict0024.jpg
S1/H08/H08_R1/S1_H08_R1_PICT0416,S1/H08/H08_R1/S1_H08_R1_PICT0416.JPG,s1_h08_h08_r1_s1_h08_r1_pict0416.jpg,H08,H08,,SER_S1#H08#1#140,elephant,-2.3333,34.8333,unknown,images\s1_h08_h08_r1_s1_h08_r1_pict0416.jpg
S1/G12/G12_R1/S1_G12_R1_PICT5417,S1/G12/G12_R1/S1_G12_R1_PICT5417.JPG,s1_g12_g12_r1_s1_g12_r1_pict5417.jpg,G12,G12,,SER_S1#G12#1#1807,elephant,-2.3333,34.8333,unknown,images\s1_g12_g12_r1_s1_g12_r1_pict5417.jpg
S1/F08/F08_R3/S1_F08_R3_PICT2806,S1/F08/F08_R3/S1_F08_R3_PICT2806.JPG,s1_f08_f08_r3_s1_f08_r3_pict2806.jpg,F08,F08,,SER_S1#F08#3#937,elephant,-2.3333,34.8333,unknown,images\s1_f08_f08_r3_s1_f08_r3_pict2806.jpg
S1/J09/J09_R1/S1_J09_R1_PICT0212,S1/J09/J09_R1/S1_J09_R1_PICT0212.JPG,s1_j09_j09_r1_s1_j09_r1_pict0212.jpg,J09,J09,,SER_S1#J09#1#71,elephant,-2.3333,34.8333,unknown,images\s1_j09_j09_r1_s1_j09_r1_pict0212.jpg
S1/K10/K10_R1/S1_K10_R1_PICT0465,S1/K10/K10_R1/S1_K10_R1_PICT0465.JPG,s1_k10_k10_r1_s1_k10_r1_pict0465.jpg,K10,K10,,SER_S1#K10#1#156,elephant,-2.3333,34.8333,unknown,images\s1_k10_k10_r1_s1_k10_r1_pict0465.jpg
